Off_Tm,Off_Year,Off_PF,Off_Fum_Play,Off_Comp_Pct,Off_TD_PA,Off_INT_PA,Off_NY/A,Off_1D_PA,Off_TD_RA,Off_Y/A,Off_1D_RA,Off_Pass_Pct
ARI,2019,361.0,0.006,0.6407942238267148,0.036101083032490974,0.021660649819494584,5.8,0.3176895306859206,0.045454545454545456,5.0,0.27525252525252525,0.5831578947368421
IND,2019,361.0,0.010826771653543307,0.5984405458089669,0.042884990253411304,0.01949317738791423,5.7,0.3216374269005848,0.036093418259023353,4.5,0.2781316348195329,0.5213414634146342
DET,2019,341.0,0.007835455435847209,0.6024518388791593,0.04903677758318739,0.02626970227670753,6.4,0.3432574430823117,0.0171990171990172,4.1,0.20147420147420148,0.5838445807770961
NYG,2019,341.0,0.015810276679841896,0.6194398682042833,0.04942339373970346,0.02800658978583196,5.7,0.30807248764415157,0.03038674033149171,4.7,0.24585635359116023,0.6264189886480909
CAR,2019,340.0,0.012999071494893221,0.6034755134281201,0.026856240126382307,0.03317535545023697,5.3,0.36334913112164297,0.05181347150259067,4.7,0.21243523316062177,0.6211972522080471
LAC,2019,337.0,0.011033099297893681,0.6599664991624791,0.04020100502512563,0.03350083752093802,7.0,0.3685092127303183,0.03278688524590164,4.0,0.2459016393442623,0.6199376947040498
CLE,2019,335.0,0.007194244604316547,0.5899814471243042,0.04081632653061224,0.03896103896103896,6.1,0.3339517625231911,0.03816793893129771,4.8,0.22900763358778625,0.5783261802575107
BUF,2019,314.0,0.0068762278978389,0.5828460038986355,0.04093567251461988,0.023391812865497075,5.8,0.3157894736842105,0.02795698924731183,4.4,0.25806451612903225,0.5245398773006135
LV,2019,313.0,0.00910010111223458,0.7017208413001912,0.04206500956022945,0.015296367112810707,7.1,0.37093690248565964,0.029748283752860413,4.3,0.2379862700228833,0.5447916666666667
MIA,2019,306.0,0.007827788649706457,0.6032520325203252,0.03577235772357724,0.02926829268292683,5.7,0.34146341463414637,0.02865329512893983,3.3,0.1833810888252149,0.6379668049792531
JAX,2019,300.0,0.011764705882352941,0.6179966044142614,0.04074702886247878,0.013582342954159592,6.0,0.31069609507640067,0.007712082262210797,4.4,0.2185089974293059,0.6022494887525562
PIT,2019,289.0,0.011739594450373533,0.6176470588235294,0.03529411764705882,0.03725490196078431,5.5,0.28823529411764703,0.017721518987341773,3.7,0.189873417721519,0.56353591160221
DEN,2019,282.0,0.006289308176100629,0.6190476190476191,0.031746031746031744,0.01984126984126984,5.7,0.32142857142857145,0.02689486552567237,4.1,0.1882640586797066,0.552026286966046
CHI,2019,280.0,0.006862745098039216,0.6396551724137931,0.034482758620689655,0.020689655172413793,5.3,0.30689655172413793,0.020253164556962026,3.7,0.21518987341772153,0.5948717948717949
CIN,2019,279.0,0.01334604385128694,0.577922077922078,0.02922077922077922,0.025974025974025976,5.5,0.31006493506493504,0.023376623376623377,3.9,0.22077922077922077,0.6153846153846154
NYJ,2019,276.0,0.009414225941422594,0.6199616122840691,0.036468330134357005,0.030710172744721688,5.4,0.31094049904030713,0.015665796344647518,3.3,0.15926892950391644,0.5763274336283186
WAS,2019,266.0,0.00903954802259887,0.6221294363256785,0.037578288100208766,0.027139874739039668,5.3,0.32150313152400833,0.025280898876404494,4.4,0.20786516853932585,0.5736526946107784
